FlightInstanceID,FlightNumber,FlightDate,DepartedOnTime,ArrivedOnTime,SeatsTotal,SeatsSold,NumOfStops,TicketCost
1,F100,5/5/25,0,1,180,152,0,422.22
2,F102,5/5/25,0,0,180,175,1,369.28
3,F103,5/5/25,1,1,180,169,1,355.82
4,F104,5/5/25,0,0,180,171,1,403.72
5,F105,5/5/25,1,0,180,159,1,281.63
6,F106,5/5/25,0,1,180,166,0,351.54
7,F107,5/5/25,0,1,180,176,0,280.57
8,F108,5/5/25,0,0,180,169,1,347.72
9,F109,5/5/25,0,1,180,178,1,297.89
10,F100,5/6/25,0,0,180,152,1,413.2
11,F101,5/6/25,0,0,180,171,1,439.37
12,F102,5/6/25,0,1,180,166,1,442.87
13,F103,5/6/25,0,1,180,162,1,337.62
14,F104,5/6/25,1,0,180,157,0,262.81
15,F105,5/6/25,0,0,180,168,0,251.44
16,F106,5/6/25,0,0,180,152,0,421.93
17,F107,5/6/25,0,0,180,158,1,292.85
18,F108,5/6/25,0,1,180,157,1,411.5
19,F109,5/6/25,0,0,180,153,1,320.86
20,F101,5/7/25,1,1,180,177,0,384.67
21,F102,5/7/25,0,0,180,162,1,410.12
22,F103,5/7/25,0,0,180,156,0,357.26
23,F104,5/7/25,0,1,180,155,1,342.53
24,F105,5/7/25,0,1,180,175,0,260.12
25,F106,5/7/25,0,0,180,179,0,283.26
26,F107,5/7/25,1,1,180,156,1,430.49
27,F108,5/7/25,0,1,180,150,1,303.04
28,F109,5/7/25,1,1,180,163,1,280.96
29,F100,5/8/25,1,0,180,180,0,365.84
30,F101,5/8/25,0,1,180,151,0,366.84
31,F102,5/8/25,0,0,180,180,0,420.27
32,F103,5/8/25,0,0,180,171,0,330.76
33,F104,5/8/25,0,0,180,169,0,333.84
34,F105,5/8/25,1,1,180,156,1,297.74
35,F107,5/8/25,1,0,180,171,1,341.44
36,F109,5/8/25,0,0,180,164,0,264.65
37,F100,5/9/25,0,1,180,154,1,426.17
38,F101,5/9/25,0,1,180,159,0,337.64
39,F102,5/9/25,1,0,180,171,1,436.35
40,F103,5/9/25,0,0,180,158,0,427.94
41,F104,5/9/25,0,1,180,159,0,393.52
42,F105,5/9/25,0,1,180,166,1,300.22
43,F106,5/9/25,0,0,180,170,1,415.87
44,F107,5/9/25,0,0,180,160,0,377.42
45,F108,5/9/25,1,0,180,173,1,360.34
46,F100,5/10/25,1,0,180,153,0,439.01
47,F101,5/10/25,0,0,180,176,1,366.5
48,F102,5/10/25,0,1,180,154,0,311.65
49,F103,5/10/25,0,1,180,156,0,383.39
50,F106,5/10/25,1,1,180,169,0,435.15
51,F107,5/10/25,0,0,180,175,0,426.28
52,F108,5/10/25,0,0,180,173,1,406.48
53,F109,5/10/25,1,0,180,158,0,407.47
54,F100,5/11/25,0,1,180,177,0,421.72
55,F101,5/11/25,0,0,180,176,1,319.93
56,F102,5/11/25,0,0,180,150,0,329.69
57,F103,5/11/25,1,0,180,180,1,320.23
58,F104,5/11/25,1,1,180,180,0,273.07
59,F106,5/11/25,1,0,180,168,1,257.65
60,F107,5/11/25,1,1,180,173,1,337.28
61,F100,5/12/25,0,1,180,178,0,300.94
62,F102,5/12/25,1,0,180,166,0,322.84
63,F103,5/12/25,0,1,180,169,1,382.68
64,F104,5/12/25,0,1,180,166,1,383.38
65,F105,5/12/25,1,1,180,172,1,360.88
66,F106,5/12/25,0,1,180,171,1,385.46
67,F107,5/12/25,0,1,180,162,0,310.77
68,F108,5/12/25,0,1,180,175,1,343
69,F109,5/12/25,1,0,180,166,1,408.75
70,F100,5/13/25,0,0,180,159,1,268.68
71,F101,5/13/25,0,1,180,157,0,279.47
72,F102,5/13/25,0,0,180,165,0,341.08
73,F103,5/13/25,0,1,180,165,1,298.8
74,F104,5/13/25,0,0,180,174,1,293.77
75,F105,5/13/25,1,0,180,167,0,433.49
76,F106,5/13/25,0,1,180,154,1,383.52
77,F107,5/13/25,1,1,180,169,1,416.11
78,F108,5/13/25,1,0,180,173,1,340.01
79,F109,5/13/25,0,1,180,174,1,375.35
80,F101,5/14/25,1,1,180,152,1,296.9
81,F102,5/14/25,1,1,180,178,0,277.67
82,F103,5/14/25,0,1,180,172,0,391.28
83,F104,5/14/25,0,1,180,163,1,358.52
84,F105,5/14/25,1,0,180,156,1,327.9
85,F106,5/14/25,0,1,180,165,0,438.55
86,F107,5/14/25,1,1,180,177,1,357.64
87,F108,5/14/25,0,1,180,157,1,337.17
88,F109,5/14/25,0,1,180,160,1,394.84
89,F100,5/15/25,1,0,180,169,0,431.39
90,F101,5/15/25,0,0,180,170,1,277.14
91,F102,5/15/25,1,0,180,151,1,325.82
92,F103,5/15/25,0,1,180,160,1,402.25
93,F104,5/15/25,1,1,180,174,1,300.45
94,F105,5/15/25,0,1,180,150,0,449.98
95,F107,5/15/25,1,0,180,170,0,406.25
96,F109,5/15/25,0,0,180,180,0,289.87
97,F100,5/16/25,0,0,180,157,0,344.71
98,F101,5/16/25,0,0,180,164,1,403.38
99,F102,5/16/25,0,0,180,174,0,442.94
100,F103,5/16/25,0,0,180,179,1,365.16
101,F104,5/16/25,1,1,180,180,0,265.2
102,F105,5/16/25,0,0,180,172,1,420.06
103,F106,5/16/25,0,0,180,161,1,382.3
104,F107,5/16/25,0,1,180,150,1,414.47
105,F108,5/16/25,0,1,180,180,1,377.12
106,F100,5/17/25,1,0,180,163,0,396.76
107,F101,5/17/25,1,1,180,164,1,415.15
108,F102,5/17/25,1,1,180,177,0,416.15
109,F103,5/17/25,0,1,180,178,1,298.77
110,F106,5/17/25,1,1,180,160,0,348.86
111,F107,5/17/25,1,0,180,165,0,320.96
112,F108,5/17/25,1,1,180,158,1,361.16
113,F109,5/17/25,0,0,180,157,1,347.72
114,F100,5/18/25,0,1,180,170,1,339.63
115,F101,5/18/25,0,0,180,159,0,330.88
116,F102,5/18/25,0,1,180,171,1,344.65
117,F103,5/18/25,1,1,180,173,1,320.36
118,F104,5/18/25,1,1,180,159,1,296.11
119,F106,5/18/25,0,1,180,153,0,288.31
120,F107,5/18/25,1,1,180,173,1,446.1
121,F100,5/19/25,0,1,180,157,1,285.89
122,F102,5/19/25,0,0,180,158,0,444.86
123,F103,5/19/25,1,0,180,170,1,270.52
124,F104,5/19/25,0,1,180,165,1,338.09
125,F105,5/19/25,0,0,180,158,1,272.82
126,F106,5/19/25,0,1,180,165,0,365.4
127,F107,5/19/25,0,0,180,154,1,267.04
128,F108,5/19/25,0,0,180,167,1,371.26
129,F109,5/19/25,0,1,180,164,1,309.47
130,F100,5/20/25,1,1,180,168,0,371.93
131,F101,5/20/25,0,0,180,170,0,302.93
132,F102,5/20/25,0,0,180,157,0,360.4
133,F103,5/20/25,0,0,180,163,1,387.87
134,F104,5/20/25,1,1,180,151,0,307.62
135,F105,5/20/25,1,1,180,152,0,434.78
136,F106,5/20/25,0,1,180,153,0,379.53
137,F107,5/20/25,1,0,180,152,0,283.18
138,F108,5/20/25,1,1,180,164,0,343.74
139,F109,5/20/25,1,1,180,180,1,350.09
140,F101,5/21/25,1,1,180,152,0,427.88
141,F102,5/21/25,1,1,180,150,0,295.78
142,F103,5/21/25,0,1,180,168,0,402.62
143,F104,5/21/25,0,1,180,166,1,433.21
144,F105,5/21/25,0,1,180,170,1,443.81
145,F106,5/21/25,1,1,180,163,1,314.21
146,F107,5/21/25,0,0,180,160,1,388.73
147,F108,5/21/25,1,1,180,176,0,340.97
148,F109,5/21/25,1,1,180,160,0,444.04
149,F100,5/22/25,1,0,180,171,1,332.65
150,F101,5/22/25,0,1,180,169,1,375.08
151,F102,5/22/25,0,0,180,158,0,435.53
152,F103,5/22/25,1,1,180,153,0,444.63
153,F104,5/22/25,0,0,180,159,0,360.45
154,F105,5/22/25,0,0,180,176,0,342.29
155,F107,5/22/25,0,0,180,165,1,351.77
156,F109,5/22/25,1,1,180,176,1,446.05
157,F100,5/23/25,0,1,180,167,0,326.72
158,F101,5/23/25,0,0,180,158,1,317.98
159,F102,5/23/25,1,0,180,159,1,417.5
160,F103,5/23/25,1,0,180,164,1,319.02
161,F104,5/23/25,1,1,180,179,1,423.92
162,F105,5/23/25,0,1,180,157,1,258.73
163,F106,5/23/25,1,1,180,162,0,349.07
164,F107,5/23/25,0,0,180,166,1,423.94
165,F108,5/23/25,1,0,180,166,1,253.07
166,F100,5/24/25,0,1,180,177,0,264.97
167,F101,5/24/25,1,1,180,169,1,379.97
168,F102,5/24/25,1,1,180,180,1,375.36
169,F103,5/24/25,1,0,180,169,0,296.95
170,F106,5/24/25,1,0,180,173,0,336.79
171,F107,5/24/25,0,0,180,164,0,388.8
172,F108,5/24/25,0,0,180,160,0,308.67
173,F109,5/24/25,1,1,180,154,0,356.23
174,F100,5/25/25,0,0,180,155,0,371.9
175,F101,5/25/25,1,0,180,165,0,296.44
176,F102,5/25/25,1,1,180,158,0,429.78
177,F103,5/25/25,1,1,180,171,0,264.77
178,F104,5/25/25,1,1,180,170,1,388.06
179,F106,5/25/25,1,1,180,156,1,420.67
180,F107,5/25/25,0,0,180,162,1,364.96
181,F100,5/26/25,1,0,180,176,1,304.9
182,F102,5/26/25,0,1,180,176,1,405.15
183,F103,5/26/25,0,1,180,157,0,374.18
184,F104,5/26/25,0,0,180,178,0,311.79
185,F105,5/26/25,1,0,180,168,1,396.47
186,F106,5/26/25,0,1,180,160,1,285.13
187,F107,5/26/25,0,1,180,166,1,416.09
188,F108,5/26/25,1,1,180,180,1,399.31
189,F109,5/26/25,1,0,180,164,0,278.15
190,F100,5/27/25,0,1,180,180,1,268.06
191,F101,5/27/25,1,0,180,158,0,340.96
192,F102,5/27/25,1,1,180,176,1,271.67
193,F103,5/27/25,0,1,180,150,1,433.05
194,F104,5/27/25,0,0,180,170,1,431.88
195,F105,5/27/25,1,1,180,153,0,259.07
196,F106,5/27/25,0,1,180,165,0,269.44
197,F107,5/27/25,0,1,180,164,1,384.1
198,F108,5/27/25,1,0,180,178,1,380.98
199,F109,5/27/25,1,1,180,180,1,256.54
200,F101,5/28/25,1,0,180,164,1,440.11
201,F102,5/28/25,1,0,180,171,1,358.89
202,F103,5/28/25,1,0,180,162,1,287.96
203,F104,5/28/25,0,1,180,152,0,378.34
204,F105,5/28/25,0,0,180,175,1,298.71
205,F106,5/28/25,0,0,180,152,0,367.28
206,F107,5/28/25,0,1,180,174,0,407.73
207,F108,5/28/25,0,1,180,177,0,447.51
208,F109,5/28/25,1,0,180,153,0,276.36
209,F100,5/29/25,1,0,180,168,1,253.16
210,F101,5/29/25,1,0,180,154,1,355.22
211,F102,5/29/25,0,1,180,164,1,352.65
212,F103,5/29/25,0,1,180,166,0,439.08
213,F104,5/29/25,0,1,180,164,0,262.17
214,F105,5/29/25,1,1,180,163,0,348.05
215,F107,5/29/25,1,0,180,178,0,314.42
216,F109,5/29/25,0,0,180,154,1,374.86
217,F100,5/30/25,1,1,180,169,1,340.74
218,F101,5/30/25,1,0,180,175,0,420.56
219,F102,5/30/25,0,1,180,164,0,332.76
220,F103,5/30/25,1,1,180,163,0,312.51
221,F104,5/30/25,1,1,180,161,0,387.36
222,F105,5/30/25,1,0,180,152,0,268.65
223,F106,5/30/25,0,1,180,175,0,361.27
224,F107,5/30/25,1,0,180,163,1,424.72
225,F108,5/30/25,1,0,180,180,1,370.08
226,F100,5/31/25,1,0,180,168,0,280.95
227,F101,5/31/25,1,0,180,177,0,320.02
228,F102,5/31/25,1,0,180,174,1,364.82
229,F103,5/31/25,1,0,180,169,1,255.79
230,F106,5/31/25,1,1,180,179,1,320.2
231,F107,5/31/25,0,0,180,168,1,263.92
232,F108,5/31/25,0,0,180,173,0,325.24
233,F109,5/31/25,1,1,180,155,1,312.33
234,F100,6/1/25,1,0,180,178,0,281.12
235,F101,6/1/25,0,0,180,158,1,382.39
236,F102,6/1/25,1,1,180,163,1,293.11
237,F103,6/1/25,0,1,180,163,0,306.65
238,F104,6/1/25,1,1,180,151,0,329.05
239,F106,6/1/25,0,0,180,156,1,439.06
240,F107,6/1/25,0,1,180,159,1,274
