RepairID,PlaneID,RepairCode,RepairDate,TechnicianID
1,PL001,RC001,2025-04-09,T004
2,PL001,RC002,2025-04-14,T001
3,PL001,RC002,2025-04-03,T001
4,PL002,RC004,2025-04-14,T009
5,PL002,RC003,2025-04-23,T004
6,PL002,RC002,2025-04-11,T007
7,PL003,RC004,2025-04-02,T009
8,PL003,RC004,2025-04-21,T001
9,PL003,RC003,2025-04-04,T005
10,PL004,RC003,2025-04-09,T006
11,PL004,RC004,2025-04-08,T006
12,PL004,RC001,2025-04-06,T001
13,PL005,RC001,2025-04-02,T006
14,PL005,RC002,2025-04-10,T008
15,PL005,RC003,2025-04-30,T010
