ReservationID,CustomerID,FlightInstanceID,Status
R0001,113,1,waitlist
R0002,119,1,reserved
R0003,190,1,reserved
R0004,343,1,reserved
R0005,465,1,waitlist
R0006,199,1,reserved
R0007,233,1,flown
R0008,21,1,flown
R0009,166,1,reserved
R0010,496,1,reserved
R0011,428,2,waitlist
R0012,297,2,reserved
R0013,90,2,reserved
R0014,194,2,reserved
R0015,335,2,flown
R0016,40,2,reserved
R0017,193,2,flown
R0018,115,2,reserved
R0019,181,2,flown
R0020,177,2,reserved
R0021,247,2,flown
R0022,4,2,reserved
R0023,226,3,reserved
R0024,40,3,reserved
R0025,144,3,reserved
R0026,96,3,reserved
R0027,309,3,waitlist
R0028,61,3,waitlist
R0029,213,3,flown
R0030,369,3,reserved
R0031,346,3,reserved
R0032,108,3,reserved
R0033,332,3,flown
R0034,125,4,reserved
R0035,294,4,reserved
R0036,69,4,waitlist
R0037,21,4,flown
R0038,76,4,reserved
R0039,133,4,flown
R0040,265,4,flown
R0041,307,4,flown
R0042,327,4,reserved
R0043,369,4,waitlist
R0044,485,5,reserved
R0045,230,5,waitlist
R0046,242,5,flown
R0047,88,5,reserved
R0048,211,5,waitlist
R0049,407,5,reserved
R0050,393,5,reserved
R0051,338,5,reserved
R0052,86,5,waitlist
R0053,176,5,flown
R0054,306,5,reserved
R0055,118,5,reserved
R0056,56,6,reserved
R0057,268,6,flown
R0058,259,6,waitlist
R0059,424,6,reserved
R0060,50,6,reserved
R0061,462,6,waitlist
R0062,20,6,flown
R0063,273,6,reserved
R0064,61,6,reserved
R0065,338,6,reserved
R0066,309,6,reserved
R0067,460,7,flown
R0068,348,7,waitlist
R0069,268,7,reserved
R0070,448,7,reserved
R0071,272,7,reserved
R0072,481,7,flown
R0073,405,7,waitlist
R0074,180,7,reserved
R0075,380,7,flown
R0076,429,7,waitlist
R0077,218,8,reserved
R0078,245,8,waitlist
R0079,466,8,flown
R0080,146,8,reserved
R0081,279,8,reserved
R0082,97,8,reserved
R0083,381,8,waitlist
R0084,296,8,reserved
R0085,267,8,reserved
R0086,336,8,reserved
R0087,210,9,reserved
R0088,80,9,reserved
R0089,300,9,reserved
R0090,438,9,reserved
R0091,290,9,reserved
R0092,142,9,flown
R0093,204,9,waitlist
R0094,212,9,reserved
R0095,286,9,reserved
R0096,190,9,reserved
R0097,248,9,reserved
R0098,158,9,reserved
R0099,204,10,waitlist
R0100,438,10,flown
R0101,61,10,waitlist
R0102,229,10,waitlist
R0103,487,10,reserved
R0104,110,10,reserved
R0105,403,10,reserved
R0106,282,10,waitlist
R0107,351,10,waitlist
R0108,83,10,reserved
R0109,326,10,reserved
R0110,47,10,flown
R0111,242,10,flown
R0112,223,10,reserved
R0113,135,10,reserved
R0114,312,11,reserved
R0115,197,11,flown
R0116,206,11,waitlist
