ScheduleID,FlightNumber,DayOfWeek,DepartureTime,ArrivalTime
1,F100,Monday,13:00,16:00
2,F100,Tuesday,9:00,12:00
3,F100,Thursday,11:00,14:00
4,F100,Friday,15:00,18:00
5,F100,Saturday,8:00,11:00
6,F100,Sunday,7:00,10:00
7,F101,Tuesday,16:00,19:00
8,F101,Wednesday,16:00,19:00
9,F101,Thursday,13:00,16:00
10,F101,Friday,6:00,9:00
11,F101,Saturday,19:00,22:00
12,F101,Sunday,22:00,1:00
13,F102,Monday,17:00,20:00
14,F102,Tuesday,7:00,10:00
15,F102,Wednesday,22:00,1:00
16,F102,Thursday,14:00,17:00
17,F102,Friday,16:00,19:00
18,F102,Saturday,11:00,14:00
19,F102,Sunday,7:00,10:00
20,F103,Monday,12:00,15:00
21,F103,Tuesday,14:00,17:00
22,F103,Wednesday,7:00,10:00
23,F103,Thursday,12:00,15:00
24,F103,Friday,8:00,11:00
25,F103,Saturday,17:00,20:00
26,F103,Sunday,13:00,16:00
27,F104,Monday,16:00,19:00
28,F104,Tuesday,10:00,13:00
29,F104,Wednesday,16:00,19:00
30,F104,Thursday,16:00,19:00
31,F104,Friday,11:00,14:00
32,F104,Sunday,13:00,16:00
33,F105,Monday,7:00,10:00
34,F105,Tuesday,10:00,13:00
35,F105,Wednesday,22:00,1:00
36,F105,Thursday,12:00,15:00
37,F105,Friday,10:00,13:00
38,F106,Monday,13:00,16:00
39,F106,Tuesday,22:00,1:00
40,F106,Wednesday,12:00,15:00
41,F106,Friday,15:00,18:00
42,F106,Saturday,6:00,9:00
43,F106,Sunday,12:00,15:00
44,F107,Monday,15:00,18:00
45,F107,Tuesday,17:00,20:00
46,F107,Wednesday,13:00,16:00
47,F107,Thursday,7:00,10:00
48,F107,Friday,11:00,14:00
49,F107,Saturday,15:00,18:00
50,F107,Sunday,11:00,14:00
51,F108,Monday,19:00,22:00
52,F108,Tuesday,9:00,12:00
53,F108,Wednesday,13:00,16:00
54,F108,Friday,9:00,12:00
55,F108,Saturday,12:00,15:00
56,F109,Monday,13:00,16:00
57,F109,Tuesday,18:00,21:00
58,F109,Wednesday,17:00,20:00
59,F109,Thursday,16:00,19:00
60,F109,Saturday,12:00,15:00
